1959,1130
1960,1190
1961,1230
1962,1290
1963,1340
1964,1390
1965,1440
1966,1450
1967,1420
1968,1440
1969,1450
1970,1480
1971,1450
1972,1390
1973,1350
1974,1250
1975,1200
1976,1210
1977,1210
1978,1210
1979,1210
1980,1220
1981,1280
1982,1340
1983,1400
1984,1460
1985,1530
1986,1610
1987,1660
1988,1870
1989,2010
1990,2180
1991,2160
1992,2260
1993,2280
1994,2260
1995,2230
1996,2290
1997,2450
1998,2500
1999,2570
2000,2590
2001,2600
2002,2550
2003,2540
2004,2420
2005,2470
2006,2370
2007,2350
2008,2300
2009,2490
2010,2590
2011,2680
2012,2740
2013,2960
2014,3050
2015,3120
2016,3180
2017,3230
2018,3300
2019,3300
