Year,U.S. Official Price (U.S. dollars per fine ounce end of year),New York Market Price (U.S. dollars per fine ounce),London Market Price (British &pound; [1718-1949] or U.S. $ [1950-2011] per fine ounce)
1960,35,35,35.28
1961,35,35,35.15
1962,35,35,35.1
1963,35,35,35.09
1964,35,35,35.09
1965,35,35,35.13
1966,35,35,35.17
1967,35,35,35.19
1968,35,39.26,38.69
1969,35,41.51,41.09
1970,35,36.41,35.94
1971,35,41.25,40.8
1972,38,58.6,58.16
1973,42.22,97.81,97.32
1974,42.22,159.74,159.26
1975,42.22,161.49,161.02
1976,42.22,125.32,124.84
1977,42.22,148.31,147.71
1978,42.22,193.55,193.22
1979,42.22,307.5,306.68
1980,42.22,612.56,612.56
1981,42.22,459.64,460.03
1982,42.22,375.91,375.67
1983,42.22,424,424.35
1984,42.22,360.66,360.48
1985,42.22,317.66,317.28
1986,42.22,368.24,367.51
1987,42.22,447.95,446.47
1988,42.22,438.31,437.05
1989,42.22,382.58,381.43
1990,42.22,384.93,383.47
1991,42.22,363.29,362.18
1992,42.22,344.97,343.73
1993,42.22,360.91,359.77
1994,42.22,385.42,384.01
1995,42.22,385.5,384.16
1996,42.22,389.09,387.69
1997,42.22,332.39,331.1
1998,42.22,295.24,294.16
1999,42.22,279.91,278.64
2000,42.22,280.1,279.03
2001,42.22,272.22,271.04
2002,42.22,311.33,309.68
2003,42.22,364.8,363.32
2004,42.22,410.52,409.17
2005,42.22,446,444.45
2006,42.22,606,603.77
2007,42.22,699,695.39
2008,42.22,874,871.96
2009,42.22,975,972.35
2010,42.22,1227,1224.53
2011,42.22,1572,1571.52
2012,42.22,1700,1668.98
2013,42.22,1415,1411.23
2014,42.22,1269,1266.4
2015,42.22,1163,1160.06
2016,42.22,1252,1250.74
2017,42.22,1260,1257.12
2018,42.22,1270,1268.49
2019,42.22,1390,1392.6
2020,42.22,1770,1769.64
